,new_region,date,nombre_de_trains_programmes,nombre_de_trains_ayant_circule,nombre_de_trains_annules,nombre_de_trains_en_retard_a_l_arrivee,taux_de_regularite,nombre_de_trains_a_l_heure_pour_un_train_en_retard_a_l_arrivee,annee,mois
321,Hauts-de-France,2013-08-01,24982.0,24558.0,424.0,1333.0,94.57203355322095,17.42310577644411,2013,8
67,Bourgogne-Franche-Comté,2013-08-01,12162.0,12097.0,65.0,730.0,93.96544597834173,15.57123287671233,2013,8
322,Hauts-de-France,2013-09-01,29998.0,29396.0,602.0,2071.0,92.95482378554905,13.194109126026074,2013,9
128,Bretagne,2013-09-01,8218.0,8166.0,52.0,472.0,94.21993632133236,16.300847457627118,2013,9
8,Auvergne-Rhône-Alpes,2013-09-01,34184.0,33764.0,420.0,3394.0,89.94787347470678,8.94814378314673,2013,9
68,Bourgogne-Franche-Comté,2013-09-01,12905.0,12528.0,377.0,1152.0,90.80459770114942,9.875,2013,9
382,Normandie,2013-09-01,8987.0,8742.0,245.0,384.0,95.60741249142073,21.765625,2013,9
442,Nouvelle Aquitaine,2013-09-01,15543.0,15147.0,396.0,1499.0,90.10365088796462,9.104736490993997,2013,9
719,Provence-Alpes-Côte d'Azur,2013-09-01,13024.0,12465.0,559.0,1745.0,86.00080224628961,6.143266475644699,2013,9
274,Grand Est,2013-09-01,25191.0,24887.0,304.0,1163.0,95.32687748623779,20.39896818572657,2013,9
534,Occitanie,2013-09-01,12637.0,12202.0,435.0,1027.0,91.58334699229634,10.881207400194741,2013,9
600,Pays de la Loire,2013-09-01,9731.0,9381.0,350.0,651.0,93.06044131755677,13.410138248847927,2013,9
535,Occitanie,2013-10-01,12833.0,12433.0,400.0,1132.0,90.89519826268801,9.98321554770318,2013,10
443,Nouvelle Aquitaine,2013-10-01,16349.0,15867.0,482.0,1614.0,89.82794479107582,8.83085501858736,2013,10
275,Grand Est,2013-10-01,26883.0,26501.0,382.0,1621.0,93.883249688691,15.348550277606416,2013,10
69,Bourgogne-Franche-Comté,2013-10-01,13966.0,13797.0,169.0,1517.0,89.0048561281438,8.094924192485168,2013,10
720,Provence-Alpes-Côte d'Azur,2013-10-01,11011.0,10306.0,705.0,2382.0,76.88725014554629,3.3266162888329136,2013,10
601,Pays de la Loire,2013-10-01,10176.0,9893.0,283.0,1012.0,89.77054482967755,8.775691699604742,2013,10
129,Bretagne,2013-10-01,8768.0,8705.0,63.0,766.0,91.20045950603102,10.364229765013055,2013,10
383,Normandie,2013-10-01,9407.0,9220.0,187.0,632.0,93.14533622559652,13.58860759493671,2013,10
323,Hauts-de-France,2013-10-01,29411.0,29092.0,319.0,3352.0,88.4779320775471,7.678997613365155,2013,10
9,Auvergne-Rhône-Alpes,2013-10-01,36037.0,35575.0,462.0,4246.0,88.0646521433591,7.378473857748469,2013,10
721,Provence-Alpes-Côte d'Azur,2013-11-01,13054.0,12480.0,574.0,2205.0,82.33173076923077,4.659863945578231,2013,11
384,Normandie,2013-11-01,8570.0,8171.0,399.0,646.0,92.09399094358096,11.64860681114551,2013,11
444,Nouvelle Aquitaine,2013-11-01,15401.0,14749.0,652.0,1884.0,87.22625262729676,6.828556263269639,2013,11
10,Auvergne-Rhône-Alpes,2013-11-01,32654.0,31728.0,926.0,4252.0,86.59858799798286,6.461900282220132,2013,11
70,Bourgogne-Franche-Comté,2013-11-01,12819.0,12660.0,159.0,1604.0,87.33017377567141,6.892768079800499,2013,11
536,Occitanie,2013-11-01,11798.0,11401.0,397.0,1444.0,87.33444434698711,6.895429362880886,2013,11
602,Pays de la Loire,2013-11-01,9330.0,9200.0,130.0,904.0,90.17391304347827,9.176991150442477,2013,11
276,Grand Est,2013-11-01,24625.0,23956.0,669.0,1332.0,94.43980631157122,16.984984984984983,2013,11
324,Hauts-de-France,2013-11-01,28026.0,27664.0,362.0,3335.0,87.94462116830537,7.295052473763119,2013,11
130,Bretagne,2013-11-01,8083.0,8014.0,69.0,713.0,91.10306962815073,10.239831697054699,2013,11
71,Bourgogne-Franche-Comté,2013-12-01,13409.0,13049.0,360.0,1290.0,90.11418499501877,9.115503875968992,2013,12
277,Grand Est,2013-12-01,24381.0,23884.0,497.0,1155.0,95.1641266119578,19.67878787878788,2013,12
603,Pays de la Loire,2013-12-01,9900.0,9409.0,491.0,947.0,89.93516845573387,8.93558606124604,2013,12
325,Hauts-de-France,2013-12-01,25451.0,25096.0,355.0,2675.0,89.34093082562958,8.381682242990655,2013,12
385,Normandie,2013-12-01,9172.0,8409.0,763.0,652.0,92.24640266381259,11.89723926380368,2013,12
131,Bretagne,2013-12-01,8576.0,8246.0,330.0,613.0,92.5660926509823,12.451876019575856,2013,12
537,Occitanie,2013-12-01,13031.0,12417.0,614.0,1892.0,84.76282515905613,5.562896405919662,2013,12
11,Auvergne-Rhône-Alpes,2013-12-01,30360.0,29812.0,548.0,4841.0,83.76157252113244,5.1582317702953935,2013,12
722,Provence-Alpes-Côte d'Azur,2013-12-01,14882.0,10858.0,4024.0,2016.0,81.43304475962424,4.385912698412699,2013,12
445,Nouvelle Aquitaine,2013-12-01,16439.0,15586.0,853.0,1635.0,89.50981650198896,8.532721712538226,2013,12
604,Pays de la Loire,2014-01-01,10247.0,10127.0,120.0,717.0,92.91991705342154,13.12412831241283,2014,1
538,Occitanie,2014-01-01,13892.0,13662.0,230.0,1408.0,89.69404186795491,8.703125,2014,1
132,Bretagne,2014-01-01,8781.0,8714.0,67.0,416.0,95.22607298599954,19.947115384615383,2014,1
386,Normandie,2014-01-01,9408.0,9305.0,103.0,461.0,95.04567436861902,19.184381778741866,2014,1
723,Provence-Alpes-Côte d'Azur,2014-01-01,14703.0,13336.0,1367.0,2652.0,80.11397720455909,4.028657616892911,2014,1
446,Nouvelle Aquitaine,2014-01-01,17637.0,17332.0,305.0,1254.0,92.76482806369721,12.821371610845295,2014,1
278,Grand Est,2014-01-01,25986.0,25706.0,280.0,934.0,96.36660701781685,26.522483940042825,2014,1
12,Auvergne-Rhône-Alpes,2014-01-01,34408.0,33930.0,478.0,3589.0,89.42234011199528,8.453886876567289,2014,1
72,Bourgogne-Franche-Comté,2014-01-01,14149.0,14065.0,84.0,898.0,93.6153572698187,14.662583518930958,2014,1
326,Hauts-de-France,2014-01-01,31613.0,31263.0,350.0,2409.0,92.29440552730064,11.977584059775841,2014,1
605,Pays de la Loire,2014-02-01,9285.0,9175.0,110.0,709.0,92.2724795640327,11.940761636107194,2014,2
279,Grand Est,2014-02-01,23489.0,23590.0,171.0,1015.0,95.6973293768546,22.24137931034483,2014,2
724,Provence-Alpes-Côte d'Azur,2014-02-01,12677.0,11676.0,1001.0,2143.0,81.6461116820829,4.4484367708819414,2014,2
387,Normandie,2014-02-01,8589.0,8480.0,89.0,436.0,94.85849056603773,18.44954128440367,2014,2
327,Hauts-de-France,2014-02-01,27778.0,27395.0,383.0,1854.0,93.23234166818763,13.776159654800432,2014,2
539,Occitanie,2014-02-01,12124.0,11958.0,166.0,1101.0,90.79277471149021,9.861035422343324,2014,2
73,Bourgogne-Franche-Comté,2014-02-01,12170.0,11967.0,203.0,720.0,93.98345449987465,15.620833333333334,2014,2
133,Bretagne,2014-02-01,8025.0,7872.0,153.0,561.0,92.8734756097561,13.032085561497325,2014,2
13,Auvergne-Rhône-Alpes,2014-02-01,30838.0,30436.0,402.0,2921.0,90.40281245893021,9.419719274221157,2014,2
447,Nouvelle Aquitaine,2014-02-01,15427.0,15161.0,276.0,1258.0,91.70239430116747,11.051669316375198,2014,2
74,Bourgogne-Franche-Comté,2014-03-01,12763.0,12488.0,275.0,834.0,93.32158872517617,13.973621103117505,2014,3
14,Auvergne-Rhône-Alpes,2014-03-01,34017.0,33186.0,831.0,2770.0,91.65310673175435,10.980505415162455,2014,3
