,User,Tweet,timeTweet,source,retweet
158,mob_inclusive,"🎙️ [𝗣𝗢𝗗𝗖𝗔𝗦𝗧] Rencontre :
Dans le dernier épisode du podcast 𝗥𝗘𝗡𝗖𝗢𝗡𝗧𝗥𝗘𝗦, Mikaël Lemarchand explique les leviers sur lesquels la @SNCF travaille pour rendre le train pour inclusif. 
Ecoutez le podcast↪ https://t.co/K4GrLMDrXu https://t.co/dr4ZqBbJEC",2022-12-16 10:36:19+00:00,Twitter Web App,0
159,ControleurPM733,"RT @SNCF: ❄️ Episode neigeux 
Restez attentifs aux annonces en gare et à bord des trains 🚆
#Neige #Verglas https://t.co/Fgu8uZfcLS",2022-12-16 10:35:08+00:00,Twitter for Android,7
160,lechti_cowboy,"De toute façon, tout le monde sait que @cgtcheminots @SudRailCentraux font toujours des grèves au moment des vacances et des vacances de fin d'année sans grève de la @SNCF, ce n'est plus des vacances car les syndicats en ont rien à faire des français https://t.co/7PyZrNvnzk",2022-12-16 10:34:58+00:00,Twitter for Android,0
161,kouak2,"@SNCF Bonjour, l'accès à mon compte grand voyageur redirige vers https://t.co/aIpNuskbwd qui annonce l'accès à mon espace indisponible. Savez vous quand ce sera de nouveau accessible ?",2022-12-16 10:32:19+00:00,Twitter for iPhone,0
162,eclatdavocat,"La @SNCF reine des trolls - 
parce que moi j’ai payé un prix indécent pour partir pour les fêtes et tous mes billets sont susceptibles d’être annulés à cause des grèves… je dois pas bien me débrouiller… https://t.co/SZvkzKYNMX",2022-12-16 10:30:04+00:00,Twitter for iPhone,1
163,UpToChloe,"@Theutheu46240 @Alexis_Pineaud @SNCFConnect @SNCF Merci, c'est très gentil de votre part.
Mais le gros soucis c'est qu'absolument tous les trains sont pleins sur 2 jours et je vais pas rester à Paris sous un pont.
Donc je monterai dans un autre qui circule et s'ils me bloquent, ça va chier des bulles comme jamais 💀",2022-12-16 10:29:47+00:00,Twitter Web App,0
164,LuxLeaksRaphael,@edperrin @SNCF Hey @trainline_fr ? C’est pour un ticket.,2022-12-16 10:29:31+00:00,Twitter for iPhone,0
165,leaaaaaa_f,"bonjour, @SNCF , j'ai un pass carmillon et je souhaite échanger mes billets de train entre paris et strasbourg. On me propose un ICE (sans payer de supplément que mon train initial) je peux le prendre ? Je ne risque pas d'amende même en présentant mon pass ?",2022-12-16 10:28:02+00:00,Twitter Web App,0
166,BluekeysL,"@SNCF comme dab a tout les noël vous faite une grevé, ce qui vas faire chier plain de monde et surtout les gents qui on pris leur billet bien en avance, et vous penser même pas au personne qui non pas la possibilité de faire échanger leur billet car on doit payer un suplement",2022-12-16 10:27:21+00:00,Twitter Web App,0
167,benvinc,"@SNCF @LaurentBenjam19 @BB27000 @SNCFConnect Et la compensation de 50% du prix du trajet, ne compense ni le décalage des correspondances, ni le rdv de raté…",2022-12-16 10:25:42+00:00,Twitter for iPhone,0
168,nerdgirllikeyou,#SNCF @SNCF pourquoi on peut pas échanger et se faire rembourser de notre ter alors que le retard n'est pas de notre faute ? Je loupe ma correspondance 10€ ce n'est pa rien pour un étudiant...,2022-12-16 10:23:58+00:00,Twitter for Android,0
169,benvinc,"@SNCF @LaurentBenjam19 @BB27000 @SNCFConnect Pour l’aller, oui, pour le retour ça risque de ne pas marcher (pas plus de 30 minutes… malins !!)",2022-12-16 10:23:47+00:00,Twitter for iPhone,0
170,__SlyTheSly__,"@SNCF Et n'ai quasiment pas d'alternative, un seul trajet encore disponible le lendemain à 6h20 du matin, c'est tout, si tant est que je puisse me rendre en gare à cette heure... On peut me replacer dans un autre train ? C'est à moi de me débrouiller ??",2022-12-16 10:23:45+00:00,Twitter Web App,0
171,edperrin,"Dites @SNCF, comment faire pour acheter un billet sur @SNCFConnect ? Le site plante systématiquement au moment du paiement.",2022-12-16 10:22:40+00:00,TweetDeck,0
172,__SlyTheSly__,"@SNCF Je dois donc attendre qu'il apparaisse annulé sur ma réservation pour aller en agence trouver une solution ou faire un changement via internet ?
Actuellement ça considère que je fais un changement ""normal""...",2022-12-16 10:22:25+00:00,Twitter Web App,0
173,ejilsle2eme,@dochhka @SNCF @SNCFConnect @GroupeSNCF J'ai réussi à me faire emmener le train à été supprimé,2022-12-16 10:21:29+00:00,Twitter for Android,0
