,date,nombre_de_trains_programmes,nombre_de_trains_ayant_circule,nombre_de_trains_annules,nombre_de_trains_en_retard_a_l_arrivee,taux_de_regularite,nombre_de_trains_a_l_heure_pour_un_train_en_retard_a_l_arrivee,annee,mois
103,2021-08-01,190062.0,186721.0,3341.0,10291.0,94.48856850595273,17.144106500825963,2021,8
104,2021-09-01,210246.0,205480.0,4766.0,13784.0,93.29180455518785,13.907138711549623,2021,9
105,2021-10-01,209558.0,203084.0,6474.0,17785.0,91.24254003269583,10.418836097835255,2021,10
106,2021-11-01,202571.0,197173.0,5398.0,18217.0,90.76090539779787,9.823571389361586,2021,11
107,2021-12-01,208219.0,202199.0,6020.0,15914.0,92.12953575438058,11.705730803066482,2021,12
108,2022-01-01,203431.0,199696.0,4960.0,12913.0,93.53367118019389,14.464725470456129,2022,1
109,2022-02-01,189416.0,184327.0,5089.0,11581.0,93.7171439886723,14.916328469044124,2022,2
110,2022-03-01,221206.0,216145.0,5061.0,14388.0,93.34335746836614,14.022588268001112,2022,3
111,2022-04-01,204143.0,199455.0,4688.0,13045.0,93.45967762151864,14.28976619394404,2022,4
112,2022-05-01,217962.0,213921.0,4041.0,14640.0,93.15635211129342,13.612090163934425,2022,5
113,2022-06-01,216461.0,212086.0,5722.0,18083.0,91.47374178399329,10.728474257590001,2022,6
114,2022-07-01,195311.0,189448.0,5863.0,18314.0,90.33296735779739,9.344435950638855,2022,7
115,2022-08-01,204536.0,200070.0,4466.0,15435.0,92.28520017993702,11.962099125364432,2022,8
116,2022-09-01,214659.0,209830.0,4829.0,15926.0,92.41004622789877,12.175310812507849,2022,9
117,2022-10-01,206119.0,201039.0,5080.0,17987.0,91.05297977009435,10.176905542892088,2022,10
118,2022-11-01,202715.0,197533.0,5182.0,18953.0,90.40514749434271,9.422255051970664,2022,11
